City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Tuatapere,NZ,2022-12-27 22:30:15,-46.1333,167.6833,72.72,55,1,2.82,clear sky
213,Ribeira Grande,PT,2022-12-27 22:30:15,38.5167,-28.7,61.77,95,100,15.99,heavy intensity rain
214,Tautira,PF,2022-12-27 22:30:16,-17.7333,-149.15,80.49,70,26,11.27,scattered clouds
215,Saint Charles,US,2022-12-27 22:25:46,38.7667,-90.7335,35.91,54,0,9.22,clear sky
216,Altoona,US,2022-12-27 22:26:41,40.5187,-78.3947,30.22,84,100,2.39,overcast clouds
217,Mana,GF,2022-12-27 22:30:18,5.6592,-53.7767,76.48,86,50,9.8,scattered clouds
218,Sakaraha,MG,2022-12-27 22:30:19,-22.9,44.5333,71.94,87,85,0.54,overcast clouds
219,Gweta,BW,2022-12-27 22:30:19,-20.1833,25.2333,83.21,33,25,15.32,scattered clouds
220,Kaitangata,NZ,2022-12-27 22:30:20,-46.2817,169.8464,69.15,61,16,5.39,few clouds
221,Kisumu,KE,2022-12-27 22:30:21,-0.1022,34.7617,66.33,90,100,6.22,light rain
222,Seydi,TM,2022-12-27 22:30:21,39.4816,62.9137,38.75,84,13,5.23,few clouds
223,Haines Junction,CA,2022-12-27 22:20:36,60.7522,-137.5108,28.18,95,100,2.01,overcast clouds
224,Lorengau,PG,2022-12-27 22:31:23,-2.0226,147.2712,83.37,71,79,8.21,broken clouds
225,Samarai,PG,2022-12-27 22:31:24,-10.6167,150.6667,78.76,88,100,9.64,heavy intensity rain
226,Vanimo,PG,2022-12-27 22:31:24,-2.6741,141.3028,78.35,90,100,9.28,overcast clouds
227,Porto Novo,BJ,2022-12-27 22:31:25,6.4965,2.6036,80.42,66,36,1.19,scattered clouds
228,Barra Dos Coqueiros,BR,2022-12-27 22:26:34,-10.9089,-37.0386,80.62,78,20,9.22,few clouds
229,General Roca,AR,2022-12-27 22:31:25,-39.0333,-67.5833,85.62,10,84,10.29,broken clouds
230,Maloy,NO,2022-12-27 22:31:25,61.9353,5.1136,33.73,50,62,11.7,broken clouds
231,Kenai,US,2022-12-27 22:31:26,60.5544,-151.2583,31.08,94,100,0.0,light snow
232,Havre-Saint-Pierre,CA,2022-12-27 22:31:26,50.2334,-63.5986,14.0,73,100,17.25,overcast clouds
